"CAS"	"Synonyms"	"DatabaseCount"
"51630-58-1"	"fenvalerate;51630-58-1;Pydrin"	10
"52-68-6"	"TRICHLORFON;Metrifonate;Chlorophos"	10
"544-17-2"	"CALCIUM FORMATE;544-17-2;Calcium diformate"	10
"556-67-2"	"OCTAMETHYLCYCLOTETRASILOXANE;556-67-2;Cyclotetrasiloxane, octamethyl-"	10
"557-04-0"	"MAGNESIUM STEARATE;557-04-0;Magnesium distearate"	10
"557-05-1"	"ZINC STEARATE;557-05-1;Zinc octadecanoate"	10
"557-19-7"	";;Carbon tetrabromide"	10
"557-21-1"	";Carbon tetrabromide;TETRABROMOMETHANE"	10
"558-13-4"	"Carbon tetrabromide;TETRABROMOMETHANE;558-13-4"	10
"56-93-9"	"Benzyltrimethylammonium chloride;56-93-9;N,N,N-Trimethyl-1-phenylmethanaminium chloride"	10
"569-61-9"	"569-61-9;Basic Red 9;Pararosaniline hydrochloride"	10
"57-41-0"	"phenytoin;5,5-DIPHENYLHYDANTOIN;57-41-0"	10
"57-55-6"	"propylene glycol;1,2-propanediol;propane-1,2-diol"	10
"58-08-2"	"caffeine;58-08-2;1,3,7-Trimethylxanthine"	10
"58-55-9"	"theophylline;58-55-9;1,3-Dimethylxanthine"	10
"590-86-3"	"3-Methylbutanal;ISOVALERALDEHYDE;590-86-3"	10
"598-56-1"	"N,N-DIMETHYLETHYLAMINE;598-56-1;Dimethylethylamine"	10
"60-12-8"	"2-PHENYLETHANOL;Phenethyl alcohol;Phenylethyl alcohol"	10
"60-24-2"	"2-mercaptoethanol;Mercaptoethanol;60-24-2"	10
"60-35-5"	"acetamide;60-35-5;Ethanamide"	10
"600-25-9"	"1-CHLORO-1-NITROPROPANE;600-25-9;Propane, 1-chloro-1-nitro-"	10
"602-87-9"	"5-NITROACENAPHTHENE;602-87-9;5-Nitro-1,2-dihydroacenaphthylene"	10
"614-45-9"	"tert-Butyl peroxybenzoate;614-45-9;tert-Butyl perbenzoate"	10
"6164-98-3"	"CHLORDIMEFORM;Chlorphenamidine;6164-98-3"	10
"61788-32-7"	"Terphenyl, hydrogenated;61788-32-7;Hydrogenated terphenyls"	10
"62-23-7"	"4-NITROBENZOIC ACID;p-Nitrobenzoic acid;62-23-7"	10
"622-97-9"	"4-Methylstyrene;P-Methylstyrene;622-97-9"	10
"626-38-0"	"2-PENTYL ACETATE;pentan-2-yl acetate;1-Methylbutyl acetate"	10
"64741-65-7"	";;AMMONIUM NITRATE"	10
"64742-47-8"	";AMMONIUM NITRATE;6484-52-2"	10
"6484-52-2"	"AMMONIUM NITRATE;6484-52-2;Ammonium nitricum"	10
"650-51-1"	"SODIUM TRICHLOROACETATE;650-51-1;TCA-sodium"	10
"683-18-1"	"DIBUTYLTIN DICHLORIDE;683-18-1;Dibutyldichlorostannane"	10
"6846-50-0"	"6846-50-0;2,2,4-Trimethyl-1,3-pentanediol diisobutyrate;2,2,4-trimethylpentane-1,3-diyl bis(2-methylpropanoate)"	10
"68476-85-7"	";salicylic acid;2-Hydroxybenzoic acid"	10
"69-72-7"	"salicylic acid;2-Hydroxybenzoic acid;69-72-7"	10
"70-25-7"	"1-Methyl-3-nitro-1-nitrosoguanidine;70-25-7;Methylnitronitrosoguanidine"	10
"70-30-4"	"hexachlorophene;70-30-4;Hexachlorofen"	10
"7085-85-0"	"Ethyl 2-cyanoacrylate;7085-85-0;Ethyl cyanoacrylate"	10
"709-98-8"	"propanil;709-98-8;N-(3,4-Dichlorophenyl)propanamide"	10
"72-55-9"	"p,p'-DDE;72-55-9;4,4'-DDE"	10
"74-82-8"	"(11c)methane;(13c)methane;02329_FLUKA"	10
"74-99-7"	"Propyne;Methylacetylene;1-PROPYNE"	10
"7439-93-2"	"7439-93-2;Li;Lithium"	10
"7440-09-7"	"7440-09-7;K;Potassium"	10
"7440-24-6"	"7440-24-6;Sr;Strontium"	10
"7440-59-7"	"7440-59-7;He;Helium"	10
"7440-62-2"	"7440-62-2;V;Vanadium"	10
"7440-70-2"	"7440-70-2;Ca;Calcium"	10
"7446-18-6"	"THALLIUM SULFATE;Thallium(I) sulfate;Thallous sulfate"	10
"7446-70-0"	"ALUMINUM CHLORIDE;Aluminium chloride;Aluminum trichloride"	10
"75-26-3"	"2-Bromopropane;75-26-3;ISOPROPYL BROMIDE"	10
"75-43-4"	"Dichlorofluoromethane;Fluorodichloromethane;Dichloromonofluoromethane"	10
"75-54-7"	";cacodylic acid;Dimethylarsinic acid"	10
"75-60-5"	"cacodylic acid;Dimethylarsinic acid;75-60-5"	10
"75-61-6"	"DIBROMODIFLUOROMETHANE;75-61-6;Difluorodibromomethane"	10
"75-66-1"	"2-Methyl-2-propanethiol;tert-Butyl mercaptan;75-66-1"	10
"75-77-4"	"Chlorotrimethylsilane;75-77-4;TRIMETHYLCHLOROSILANE"	10
"75-87-6"	"CHLORAL;Trichloroacetaldehyde;75-87-6"	10
"75-94-5"	"TRICHLOROVINYLSILANE;75-94-5;Vinyltrichlorosilane"	10
"75-99-0"	"DALAPON;2,2-Dichloropropionic acid;75-99-0"	10
"76-05-1"	"Trifluoroacetic acid;76-05-1;Perfluoroacetic acid"	10
"76-15-3"	"CHLOROPENTAFLUOROETHANE;76-15-3;1-Chloro-1,1,2,2,2-pentafluoroethane"	10
"7601-89-0"	"SODIUM PERCHLORATE;7601-89-0;Perchloric acid, sodium salt"	10
"7631-86-9"	"SILICON DIOXIDE;Silica;Quartz"	10
"77-92-9"	"citric acid;77-92-9;2-hydroxypropane-1,2,3-tricarboxylic acid"	10
"7705-08-0"	"FERRIC CHLORIDE;Iron(III) chloride;Iron trichloride"	10
"7727-37-9"	"7727-37-9;N;Nitrogen"	10
"7757-79-1"	"POTASSIUM NITRATE;7757-79-1;Nitre"	10
"7758-98-7"	"Copper sulfate;7758-98-7;CUPRIC SULFATE"	10
"7773-06-0"	"AMMONIUM SULFAMATE;7773-06-0;Ammonium sulphamate"	10
"7775-14-6"	"Sodium dithionite;SODIUM HYDROSULFITE;7775-14-6"	10
"7778-54-3"	"CALCIUM HYPOCHLORITE;7778-54-3;Calcium hypochloride"	10
"7783-00-8"	"SELENIOUS ACID;Selenous acid;7783-00-8"	10
"7783-54-2"	"NITROGEN TRIFLUORIDE;Trifluoroamine;Nitrogen fluoride"	10
"7784-46-5"	"SODIUM ARSENITE;7784-46-5;Sodium metaarsenite"	10
"7786-30-3"	"MAGNESIUM CHLORIDE;7786-30-3;Magnesium chloride anhydrous"	10
"7786-34-7"	"mevinphos;Phosdrin;(E)-Mevinphos"	10
"7789-06-2"	"STRONTIUM CHROMATE;7789-06-2;C.I. Pigment Yellow 32"	10
"7791-25-5"	"SULFURYL CHLORIDE;Sulfuryl dichloride;7791-25-5"	10
"78-30-8"	"TRI-O-CRESYL PHOSPHATE;Tri-o-tolyl phosphate;78-30-8"	10
"78-40-0"	"TRIETHYL PHOSPHATE;78-40-0;Triethylphosphate"	10
"78-82-0"	"Isobutyronitrile;2-METHYLPROPANENITRILE;78-82-0"	10
"78-84-2"	"ISOBUTYRALDEHYDE;2-Methylpropanal;78-84-2"	10
"7803-49-8"	"hydroxylamine;7803-49-8;Oxammonium"	10
"7803-52-3"	"7803-52-3;Antimony hydride;Antimony trihydride"	10
"7803-57-8"	"Hydrazine hydrate;7803-57-8;Hydrazine monohydrate"	10
"7803-62-5"	"5J076063R1;7803-62-5;silane"	10
"79-07-2"	"2-Chloroacetamide;Chloroacetamide;79-07-2"	10
"79-14-1"	"glycolic acid;hydroxyacetic acid;2-Hydroxyacetic acid"	10
"8003-34-7"	"Pyrethrins;Pyrethrum extract;PYRETHRUM"	10
"8014-95-7"	"OLEUM;Fuming sulfuric acid;8014-95-7"	10
"8065-48-3"	"8065-48-3;UNII-F74QXK6K3Q;F74QXK6K3Q"	10
"811-97-2"	"1,1,1,2-TETRAFLUOROETHANE;Norflurane;811-97-2"	10
"83-26-1"	"PINDONE;83-26-1;Chemrat"	10
"838-88-0"	"838-88-0;4,4'-Methylenebis(2-methylaniline);4,4'-Diamino-3,3'-dimethyldiphenylmethane"	10
"85-00-7"	"DIQUAT DIBROMIDE;85-00-7;Aquacide"	10
"85-43-8"	"85-43-8;1,2,3,6-Tetrahydrophthalic anhydride;3a,4,7,7a-Tetrahydroisobenzofuran-1,3-dione"	10
"85535-84-8"	";2-HYDROXYETHYL METHACRYLATE;868-77-9"	10
"868-77-9"	"2-HYDROXYETHYL METHACRYLATE;868-77-9;Glycol methacrylate"	10
"868-85-9"	"Dimethyl phosphonate;868-85-9;DIMETHYL HYDROGEN PHOSPHITE"	10
"87-90-1"	"TRICHLOROISOCYANURIC ACID;Symclosene;87-90-1"	10
"89-63-4"	"4-CHLORO-2-NITROANILINE;89-63-4;Benzenamine, 4-chloro-2-nitro-"	10
"90-30-2"	"N-PHENYL-1-NAPHTHYLAMINE;90-30-2;N-phenylnaphthalen-1-amine"	10
"9002-89-5"	"Ethenol;POLYVINYL ALCOHOL;VINYL ALCOHOL"	10
"924-16-3"	"N-Nitrosodibutylamine;924-16-3;Dibutylnitrosamine"	10
"93-65-2"	"MECOPROP;2-(4-Chloro-2-methylphenoxy)propanoic acid;93-65-2"	10
"930-55-2"	"1-Nitrosopyrrolidine;N-NITROSOPYRROLIDINE;930-55-2"	10
"94-74-6"	"MCPA;94-74-6;(4-Chloro-2-methylphenoxy)acetic acid"	10
"95-51-2"	"2-CHLOROANILINE;95-51-2;o-Chloroaniline"	10
"95-65-8"	"3,4-DIMETHYLPHENOL;95-65-8;3,4-Xylenol"	10
"96-13-9"	"2,3-Dibromo-1-propanol;96-13-9;2,3-DIBROMOPROPANOL"	10
"96-48-0"	"gamma-Butyrolactone;96-48-0;BUTYROLACTONE"	10
"97-56-3"	"o-Aminoazotoluene;97-56-3;Fast Garnet GBC Base"	10
"97-64-3"	"ETHYL LACTATE;97-64-3;Ethyl 2-hydroxypropanoate"	10
"97-86-9"	"Isobutyl methacrylate;97-86-9;2-Propenoic acid, 2-methyl-, 2-methylpropyl ester"	10
"98-08-8"	"BENZOTRIFLUORIDE;98-08-8;(Trifluoromethyl)benzene"	10
"99-09-2"	"3-Nitroaniline;99-09-2;M-NITROANILINE"	10
"99-54-7"	"3,4-DICHLORONITROBENZENE;1,2-Dichloro-4-nitrobenzene;99-54-7"	10
"99-55-8"	"2-Methyl-5-nitroaniline;99-55-8;2-Amino-4-nitrotoluene"	10
"99-87-6"	"P-CYMENE;4-Isopropyltoluene;99-87-6"	10
"100-25-4"	"1,4-Dinitrobenzene;100-25-4;P-DINITROBENZENE"	9
"100-53-8"	"BENZYL MERCAPTAN;Phenylmethanethiol;Benzenemethanethiol"	9
"100-75-4"	"N-NITROSOPIPERIDINE;1-Nitrosopiperidine;100-75-4"	9
"10045-94-0"	"MERCURIC NITRATE;Mercury(II) nitrate;10045-94-0"	9
"101-25-7"	"101-25-7;DINITROSOPENTAMETHYLENETETRAMINE;Dipentax"	9
"10102-18-8"	"SODIUM SELENITE;Disodium selenite;10102-18-8"	9
"10112-91-1"	"Mercurous chloride;Calomel;MERCURY(I) CHLORIDE"	9
"10124-37-5"	"CALCIUM NITRATE;10124-37-5;Calcium dinitrate"	9
"102-01-2"	"ACETOACETANILIDE;102-01-2;3-Oxo-N-phenylbutanamide"	9
"102-77-2"	"102-77-2;2-(Morpholinothio)benzothiazole;4-(Benzo[d]thiazol-2-ylthio)morpholine"	9
"10294-40-3"	"BARIUM CHROMATE;10294-40-3;Permanent Yellow"	9
"103-83-3"	"N,N-DIMETHYLBENZYLAMINE;103-83-3;Benzyldimethylamine"	9
"10377-60-3"	"MAGNESIUM NITRATE;10377-60-3;Magnesium dinitrate"	9
"104-55-2"	"cinnamaldehyde;trans-Cinnamaldehyde;104-55-2"	9
"104-91-6"	"4-NITROSOPHENOL;p-Nitrosophenol;104-91-6"	9
"10421-48-4"	"FERRIC NITRATE;10421-48-4;UNII-N8H8402XOB"	9
"105-05-5"	"1,4-DIETHYLBENZENE;105-05-5;p-Diethylbenzene"	9
"105-37-3"	"ETHYL PROPIONATE;Ethyl propanoate;105-37-3"	9
"105-56-6"	"ETHYL CYANOACETATE;105-56-6;Ethyl 2-cyanoacetate"	9
"105-58-8"	"DIETHYL CARBONATE;105-58-8;Carbonic acid, diethyl ester"	9
"10544-72-6"	"Dinitrogen tetroxide;NITROGEN TETROXIDE;Dinitrogen tetraoxide"	9
"10599-90-3"	"CHLORAMINE;Monochloramine;Chloramide"	9
"106-14-9"	"12-HYDROXYOCTADECANOIC ACID;12-Hydroxystearic acid;106-14-9"	9
"106-23-0"	"CITRONELLAL;106-23-0;3,7-Dimethyl-6-octenal"	9
"106-68-3"	"3-Octanone;Octan-3-one;106-68-3"	9
"106-75-2"	"Oxydiethylene bis(chloroformate);106-75-2;Diglycol chlorformate"	9
"107-14-2"	"CHLOROACETONITRILE;107-14-2;2-Chloroacetonitrile"	9
"107-16-4"	"GLYCOLONITRILE;Hydroxyacetonitrile;2-Hydroxyacetonitrile"	9
"107-29-9"	"ACETALDEHYDE OXIME;Acetaldoxime;Aldoxime"	9
"108-30-5"	"SUCCINIC ANHYDRIDE;108-30-5;dihydrofuran-2,5-dione"	9
"108-32-7"	"PROPYLENE CARBONATE;108-32-7;4-Methyl-1,3-dioxolan-2-one"	9
"109-02-4"	"4-Methylmorpholine;N-METHYLMORPHOLINE;109-02-4"	9
"109-16-0"	"TRIETHYLENE GLYCOL DIMETHACRYLATE;109-16-0;Tedma"	9
"109-43-3"	"DIBUTYL SEBACATE;Dibutyl decanedioate;109-43-3"	9
"109-53-5"	"ISOBUTYL VINYL ETHER;Vinyl isobutyl ether;109-53-5"	9
"109-63-7"	"Boron trifluoride etherate;109-63-7;Boron trifluoride ethyl ether"	9
"109-65-9"	"1-Bromobutane;Butyl bromide;109-65-9"	9
"109-78-4"	"3-Hydroxypropionitrile;109-78-4;3-Hydroxypropanenitrile"	9
"110-27-0"	"ISOPROPYL MYRISTATE;110-27-0;Isopropyl tetradecanoate"	9
"110-88-3"	"1,3,5-TRIOXANE;s-Trioxane;110-88-3"	9
"110-93-0"	"6-METHYL-5-HEPTEN-2-ONE;6-Methylhept-5-en-2-one;110-93-0"	9
"11097-69-1"	"AROCLOR 1254;2,2',3,3',4-pentachlorobiphenyl;11097-69-1"	9
"111-26-2"	"Hexylamine;hexan-1-amine;111-26-2"	9
"111-48-8"	"thiodiglycol;2,2'-Thiodiethanol;111-48-8"	9
"111-78-4"	"1,5-CYCLOOCTADIENE;Cycloocta-1,5-diene;(1Z,5Z)-cycloocta-1,5-diene"	9
"11138-47-9"	"11138-47-9;sodium dihydrogen borate;EINECS 234-390-0"	9
"112-18-5"	"N,N-Dimethyldodecylamine;112-18-5;N,N-dimethyldodecan-1-amine"	9
"112-59-4"	"Diethylene glycol monohexyl ether;112-59-4;2-(2-Hexyloxyethoxy)ethanol"	9
"112-60-7"	"TETRAETHYLENE GLYCOL;112-60-7;Tetraglycol"	9
"112-70-9"	"1-TRIDECANOL;Tridecanol;Tridecan-1-ol"	9
"112-90-3"	"Oleylamine;Oleyl amine;Oleamine"	9
"1120-36-1"	"1-TETRADECENE;Tetradec-1-ene;1120-36-1"	9
"115-18-4"	"2-METHYL-3-BUTEN-2-OL;115-18-4;2-Methylbut-3-en-2-ol"	9
"117-79-3"	"2-AMINOANTHRAQUINONE;117-79-3;2-aminoanthracene-9,10-dione"	9
"117-82-8"	"BIS(2-METHOXYETHYL) PHTHALATE;117-82-8;Dimethoxyethyl phthalate"	9
"118-52-5"	"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN;118-52-5;Dantoin"	9
"118-92-3"	"anthranilic acid;2-aminobenzoic acid;118-92-3"	9
"119-06-2"	"DITRIDECYL PHTHALATE;119-06-2;Nuoplaz"	9
"119-47-1"	"119-47-1;Antioxidant 2246;Bisalkofen BP"	9
"120-40-1"	"N,N-Bis(2-hydroxyethyl)dodecanamide;120-40-1;Lauric diethanolamide"	9
"120-55-8"	"Diethylene glycol dibenzoate;120-55-8;Benzo Flex 2-45"	9
"12001-29-5"	"Chrysotile;CHRYSOTILE ASBESTOS;12001-29-5"	9
"12075-68-2"	"ETHYLALUMINUM SESQUICHLORIDE;12075-68-2;Ethyl aluminum sesquichloride"	9
"121-88-0"	"2-AMINO-5-NITROPHENOL;121-88-0;2-Hydroxy-4-nitroaniline"	9
"121-92-6"	"3-NITROBENZOIC ACID;121-92-6;m-Nitrobenzoic acid"	9
"12125-01-8"	"12125-01-8;Ammonium fluoride ((NH4)F);Fluoruro amonico"	9
"12135-76-1"	";12185-10-3;27YLU75U4W"	9
"12185-10-3"	"12185-10-3;27YLU75U4W;7723-14-0"	9
"122-51-0"	"Triethyl orthoformate;122-51-0;ETHYL ORTHOFORMATE"	9
"122-62-3"	"BIS(2-ETHYLHEXYL) SEBACATE;122-62-3;Bis(2-ethylhexyl) decanedioate"	9
"123-07-9"	"4-ETHYLPHENOL;123-07-9;p-Ethylphenol"	9
"123-33-1"	"MALEIC HYDRAZIDE;Pyridazine-3,6-diol;123-33-1"	9
"123-75-1"	"PYRROLIDINE;123-75-1;Tetrahydropyrrole"	9
"123-96-6"	"2-OCTANOL;Octan-2-ol;123-96-6"	9
"123-99-9"	"azelaic acid;NONANEDIOIC ACID;123-99-9"	9
"124-02-7"	"Diallylamine;124-02-7;2-Propen-1-amine, N-2-propenyl-"	9
"124-19-6"	"NONANAL;1-Nonanal;Pelargonaldehyde"	9
"1241-94-7"	"2-Ethylhexyl diphenyl phosphate;1241-94-7;Octicizer"	9
"125-12-2"	"Isobornyl acetate;Pichtosin;125-12-2"	9
"127-00-4"	"1-Chloro-2-propanol;1-Chloropropan-2-ol;127-00-4"	9
"1304-29-6"	"BARIUM PEROXIDE;1304-29-6;Bario (perossido di)"	9
"1306-38-3"	"Cerium dioxide;Ceric oxide;dioxocerium"	9
"1309-42-8"	"MAGNESIUM HYDROXIDE;1309-42-8;Milk of magnesia"	9
"1317-35-7"	"1317-35-7;Manganese(II,III) oxide;Trimanganese tetraoxide"	9
"1321-64-8"	"1,2,4,5,7-Pentachloronaphthalene;150224-19-4;Naphthalene, 1,2,4,5,7-pentachloro"	9
"1327-41-9"	";;Sodium bifluoride"	9
"1328-53-6"	";Sodium bifluoride;Sodium hydrogen fluoride"	9
"1333-83-1"	"Sodium bifluoride;Sodium hydrogen fluoride;Sodium acid fluoride"	9
"1335-88-2"	"1,2,3,4-TETRACHLORONAPHTHALENE;20020-02-4;Naphthalene, 1,2,3,4-tetrachloro-"	9
"1338-41-6"	"SORBITAN MONOSTEARATE;Anhydrosorbitol stearate;Sorbitan stearate"	9
"134-62-3"	"Diethyltoluamide;DEET;N,N-Diethyl-3-methylbenzamide"	9
"1344-43-0"	"Manganese(II) oxide;oxomanganese;1344-43-0"	9
"13477-00-4"	"BARIUM CHLORATE;13477-00-4;UNII-GRW9DUG818"	9
"135-98-8"	"SEC-BUTYLBENZENE;135-98-8;2-Phenylbutane"	9
"13548-38-4"	"Chromic nitrate;Chromium(III) nitrate;Chromium trinitrate"	9
"13560-89-9"	"Dechlorane plus;13560-89-9;Dechlorane A"	9
"136-23-2"	"Zinc dibutyldithiocarbamate;136-23-2;Zinc(II) Dibutyldithiocarbamate"	9
"137-40-6"	"SODIUM PROPIONATE;137-40-6;Sodium propanoate"	9
"139-40-2"	"propazine;139-40-2;Prozinex"	9
"1401-55-4"	"TANNIC ACID;1401-55-4;Gallotannin"	9
"14075-53-7"	"Potassium tetrafluoroborate;14075-53-7;Potassium fluoroborate"	9
"141-52-6"	"Sodium ethoxide;Sodium ethylate;141-52-6"	9
"142-04-1"	"ANILINE HYDROCHLORIDE;142-04-1;Anilinium chloride"	9
"142-59-6"	"nabam;Spring-Bak;142-59-6"	9
"142-90-5"	"Dodecyl methacrylate;142-90-5;LAURYL METHACRYLATE"	9
"142-92-7"	"Hexyl acetate;n-Hexyl acetate;142-92-7"	9
"1461-22-9"	"Tributyltin chloride;1461-22-9;Chlorotributyltin"	9
"148-18-5"	"148-18-5;Ditiocarb sodium;SODIUM DIETHYLDITHIOCARBAMATE"	9
"150-68-5"	"MONURON;150-68-5;3-(4-Chlorophenyl)-1,1-dimethylurea"	9
"150-78-7"	"1,4-Dimethoxybenzene;150-78-7;p-Dimethoxybenzene"	9
"151-21-3"	"Sodium dodecyl sulfate;151-21-3;SODIUM LAURYL SULFATE"	9
"15545-48-9"	"Chlorotoluron;CHLORTOLURON;15545-48-9"	9
"1569-02-4"	"1-Ethoxy-2-propanol;1569-02-4;1-Ethoxypropan-2-ol"	9
"1569-69-3"	"CYCLOHEXANETHIOL;Cyclohexyl mercaptan;1569-69-3"	9
"1589-47-5"	"2-methoxypropan-1-ol;2-METHOXY-1-PROPANOL;1-Propanol, 2-methoxy-"	9
"16111-62-9"	"16111-62-9;Peroxydicarbonic acid, bis(2-ethylhexyl) ester;Di(2-ethylhexyl) peroxydicarbonate"	9
"16291-96-6"	"05105_FLUKA;05110_FLUKA;05112_FLUKA"	9
"16853-85-3"	"16853-85-3;lithium aluminium hydride;LAH"	9
"1738-25-6"	"3-(Dimethylamino)propanenitrile;1738-25-6;Dimethylaminopropionitrile"	9
"1806-26-4"	"4-OCTYLPHENOL;4-n-Octylphenol;1806-26-4"	9
"18282-10-5"	"Tin(IV) oxide;Tin dioxide;Stannic oxide"	9
"1843-05-6"	"Octabenzone;1843-05-6;2-Hydroxy-4-n-octyloxybenzophenone"	9
"191-24-2"	"Benzo[ghi]perylene;191-24-2;1,12-Benzoperylene"	9
"1937-37-7"	"Direct Black 38;1937-37-7;Chlorazol Black E"	9
"1948-33-0"	"tert-Butylhydroquinone;1948-33-0;TBHQ"	9
"20427-59-2"	";Dipentylamine;Diamylamine"	9
"2050-92-2"	"Dipentylamine;Diamylamine;2050-92-2"	9
"206-44-0"	"FLUORANTHENE;206-44-0;Idryl"	9
"2082-79-3"	"2082-79-3;Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate;Irganox 1076"	9
"21109-95-5"	";FLUOMETURON;2164-17-2"	9
"2164-17-2"	"FLUOMETURON;2164-17-2;1,1-Dimethyl-3-[3-(trifluoromethyl)phenyl]urea"	9
"21908-53-2"	"MERCURIC OXIDE;Mercury(II) oxide;21908-53-2"	9
"22398-80-7"	"INDIUM PHOSPHIDE;22398-80-7;Indium(III) phosphide"	9
"22967-92-6"	"Methylmercury(1+);Methylmercury II;Methylmercury ion"	9
"23103-98-2"	"PIRIMICARB;23103-98-2;Pirimor"	9
"2386-87-0"	"2386-87-0;3,4-Epoxycyclohexylmethyl 3,4-epoxycyclohexanecarboxylate;7-Oxabicyclo[4.1.0]heptan-3-ylmethyl 7-oxabicyclo[4.1.0]heptane-3-carboxylate"	9
"2439-10-3"	"Dodine;2439-10-3;1-Dodecylguanidine acetate"	9
"2475-45-8"	"DISPERSE BLUE 1;2475-45-8;Acetate Blue G"	9
"25103-09-7"	"ISOOCTYL THIOGLYCOLATE;25103-09-7;Isooctyl mercaptoacetate"	9
"25154-54-5"	";;"	9
"25155-30-0"	";;Diethyl chlorothiophosphate"	9
"25168-05-2"	";Diethyl chlorothiophosphate;O,O-Diethyl chlorothiophosphate"	9
"2524-04-1"	"Diethyl chlorothiophosphate;O,O-Diethyl chlorothiophosphate;2524-04-1"	9
"2530-85-0"	"2530-85-0;3-(Trimethoxysilyl)propyl methacrylate;3-Methacryloxypropyltrimethoxysilane"	9
"25322-68-3"	";;Methylhexahydrophthalic anhydride"	9
"25340-17-4"	";Methylhexahydrophthalic anhydride;25550-51-0"	9
"25550-51-0"	"Methylhexahydrophthalic anhydride;25550-51-0;3a-Methylhexahydroisobenzofuran-1,3-dione"	9
"25584-83-2"	";25973-55-1;2-(2H-Benzo[d][1,2,3]triazol-2-yl)-4,6-di-tert-pentylphenol"	9
"25973-55-1"	"25973-55-1;2-(2H-Benzo[d][1,2,3]triazol-2-yl)-4,6-di-tert-pentylphenol;2-(2H-Benzotriazol-2-yl)-4,6-ditertpentylphenol"	9
"26530-20-1"	"Octhilinone;26530-20-1;2-n-Octyl-4-isothiazolin-3-one"	9
"2698-41-1"	"2698-41-1;2-Chlorobenzylidenemalononitrile;Alonitrile"	9
"271-89-6"	"BENZOFURAN;2,3-Benzofuran;Coumarone"	9
"2783-94-0"	"Sunset Yellow FCF;2783-94-0;Food yellow 3"	9
"280-57-9"	"1,4-Diazabicyclo[2.2.2]octane;Triethylenediamine;280-57-9"	9
"28772-56-7"	"Bromadiolone;28772-56-7;Broprodifacoum"	9
"29232-93-7"	"Pirimiphos-methyl;29232-93-7;PIRIMIPHOS METHYL"	9
"29590-42-9"	"ISOOCTYL ACRYLATE;6-Methylheptyl acrylate;29590-42-9"	9
"29761-21-5"	"ISODECYL DIPHENYL PHOSPHATE;29761-21-5;Phosphoric acid, isodecyl diphenyl ester"	9
"299-28-5"	"CALCIUM GLUCONATE;299-28-5;Calcium D-gluconate"	9
"299-84-3"	"Fenchlorphos;RONNEL;Fenclofos"	9
"29911-28-2"	"29911-28-2;1-(2-Butoxy-1-methylethoxy)propan-2-ol;2-Propanol, 1-(2-butoxy-1-methylethoxy)-"	9
"3006-82-4"	"3006-82-4;tert-butyl 2-ethylhexaneperoxoate;tert-Butyl peroxy-2-ethylhexanoate"	9
"301-12-2"	"OXYDEMETON-METHYL;Oxydemeton methyl;Metasystox-R"	9
"3173-53-3"	"Cyclohexyl isocyanate;ISOCYANATOCYCLOHEXANE;3173-53-3"	9
"3209-22-1"	"2,3-DICHLORONITROBENZENE;1,2-Dichloro-3-nitrobenzene;3209-22-1"	9
"3296-90-0"	"2,2-Bis(bromomethyl)propane-1,3-diol;3296-90-0;2,2-BIS(BROMOMETHYL)-1,3-PROPANEDIOL"	9
"33089-61-1"	"AMITRAZ;33089-61-1;Mitac"	9
"3380-34-5"	"triclosan;3380-34-5;5-CHLORO-2-(2,4-DICHLOROPHENOXY)PHENOL"	9
"353-50-4"	"Carbonyl fluoride;Carbonic difluoride;CARBONYL DIFLUORIDE"	9
"3648-20-2"	"DIUNDECYL PHTHALATE;3648-20-2;1,2-Benzenedicarboxylic acid, diundecyl ester"	9
"372-09-8"	"CYANOACETIC ACID;372-09-8;2-Cyanoacetic acid"	9
"39300-45-3"	"Meptyldinocap;131-72-6;(E)-2,4-Dinitro-6-(octan-2-yl)phenyl but-2-enoate"	9
"3982-91-0"	"THIOPHOSPHORYL CHLORIDE;3982-91-0;Phosphorus thiochloride"	9
"4109-96-0"	"silicon dichloride;4109-96-0;Silicon chloride hydride"	9
"420-46-2"	"1,1,1-TRIFLUOROETHANE;Trifluoroethane;Methylfluoroform"	9
"43121-43-3"	"TRIADIMEFON;43121-43-3;Bayleton"	9
"463-51-4"	"KETENE;Ethenone;Carbomethene"	9
"479-45-8"	"Tetryl;Nitramine;Tetralite"	9
"50-21-5"	"lactic acid;2-hydroxypropanoic acid;DL-Lactic acid"	9
"501-53-1"	"BENZYL CHLOROFORMATE;501-53-1;Benzyl carbonochloridate"	9
"504-29-0"	"2-AMINOPYRIDINE;504-29-0;pyridin-2-amine"	9
"506-68-3"	"CYANOGEN BROMIDE;506-68-3;Bromine cyanide"	9
"51-03-6"	"PIPERONYL BUTOXIDE;51-03-6;Butacide"	9
"51-75-2"	"mechlorethamine;Chlormethine;Nitrogen mustard"	9
"52-51-7"	"bronopol;52-51-7;2-Bromo-2-nitro-1,3-propanediol"	9
"526-95-4"	"gluconic acid;D-gluconic acid;526-95-4"	9
"52918-63-5"	"deltamethrin;Decamethrin;Decamethrine"	9
"5329-14-6"	"SULFAMIC ACID;5329-14-6;Amidosulfonic acid"	9
"533-74-4"	"DAZOMET;533-74-4;Basamid"	9
